date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:46	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2022%20Jun%202023%2023:53:46%20GMT	https://chatnow-e86039.webflow.io/robots.txt		(from )
20:53:46	7269/7269	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202023%2023:53:46%20GMT	https://chatnow-e86039.webflow.io/	D:/WebflowWebsites/chatnow/chatnow-e86039.webflow.io/index.html	(from )
20:53:46	41821/41821	---M-Z	200	added ('OK')	text/css	etag:%224cd4426c29c28465e53c9554a768589f%22	https://uploads-ssl.webflow.com/642b1a5bff7b7f6cc2ea7267/css/chatnow-e86039.webflow.8ac26e61e.css	D:/WebflowWebsites/chatnow/uploads-ssl.webflow.com/642b1a5bff7b7f6cc2ea7267/css/chatnow-e86039.webflow.8ac26e61e.css	(from https://chatnow-e86039.webflow.io/)
20:53:46	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/WebflowWebsites/chatnow/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://chatnow-e86039.webflow.io/)
20:53:47	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	D:/WebflowWebsites/chatnow/uploads-ssl.webflow.com/img/webclip.png	(from https://chatnow-e86039.webflow.io/)
20:53:47	189922/189922	---M--	200	added ('OK')	image/png	etag:%22fa1f254a11653ecac36e5712561f9765%22	https://uploads-ssl.webflow.com/642b1a5bff7b7f6cc2ea7267/642f5ab7bfc5075a60f19bbf_Group%2013-min.png	D:/WebflowWebsites/chatnow/uploads-ssl.webflow.com/642b1a5bff7b7f6cc2ea7267/642f5ab7bfc5075a60f19bbf_Group%2013-min.png	(from https://chatnow-e86039.webflow.io/)
20:53:48	266883/266883	---M--	200	added ('OK')	image/png	etag:%226a78dba8c652a911606440b4ea40c219%22	https://uploads-ssl.webflow.com/642b1a5bff7b7f6cc2ea7267/642f6b7161410b0a83348110_Group%2015-min.png	D:/WebflowWebsites/chatnow/uploads-ssl.webflow.com/642b1a5bff7b7f6cc2ea7267/642f6b7161410b0a83348110_Group%2015-min.png	(from https://chatnow-e86039.webflow.io/)
20:53:49	1613029/1613029	---M--	200	added ('OK')	image/png	etag:%22b99f176677bd9c171a1252f0be2f5aae%22	https://uploads-ssl.webflow.com/642b1a5bff7b7f6cc2ea7267/642f5d3e57055bd9ecdd9deb_Group%2014.png	D:/WebflowWebsites/chatnow/uploads-ssl.webflow.com/642b1a5bff7b7f6cc2ea7267/642f5d3e57055bd9ecdd9deb_Group%2014.png	(from https://chatnow-e86039.webflow.io/)
20:53:49	759/759	---M--	200	added ('OK')	image/png	etag:%229464578c0f9995430241ead28a3f8b57%22	https://uploads-ssl.webflow.com/642b1a5bff7b7f6cc2ea7267/642f727e1725959d7856d296_Group%2010-min.png	D:/WebflowWebsites/chatnow/uploads-ssl.webflow.com/642b1a5bff7b7f6cc2ea7267/642f727e1725959d7856d296_Group%2010-min.png	(from https://chatnow-e86039.webflow.io/)
20:53:49	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=642b1a5bff7b7f6cc2ea7267	D:/WebflowWebsites/chatnow/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c856cd.js	(from https://chatnow-e86039.webflow.io/)
20:53:49	46104/46104	---M-Z	200	added ('OK')	text/javascript	etag:%229c9e99c7bf655e8d8a873cd6416c8bf9%22	https://uploads-ssl.webflow.com/642b1a5bff7b7f6cc2ea7267/js/webflow.7809510fd.js	D:/WebflowWebsites/chatnow/uploads-ssl.webflow.com/642b1a5bff7b7f6cc2ea7267/js/webflow.7809510fd.js	(from https://chatnow-e86039.webflow.io/)
